ID,Name,Type,Phase,Frozen,Duration,Start time,Relative time,Average rating,Round number,Division,Date
"1975","Codeforces Round 947 (Div. 1 + Div. 2)","CF","FINISHED","false","10800","1716647700","25945726","2155.5555555555557","947","1","5/25/2024"
"1974","Codeforces Round 946 (Div. 3)","ICPC","FINISHED","false","8100","1716215700","26377726","1442.857142857143","946","3","5/20/2024"
"1973","Codeforces Round 945 (Div. 2)","CF","FINISHED","false","7200","1715956500","26636926","1983.3333333333333","945","2","5/17/2024"
"1971","Codeforces Round 944 (Div. 4)","ICPC","FINISHED","false","8100","1715351700","27241726","1312.5","944","4","5/10/2024"
"1968","Codeforces Round 943 (Div. 3)","ICPC","FINISHED","false","8100","1714661100","27932326","1425","943","3","5/2/2024"
"1967","Codeforces Round 942 (Div. 1)","CF","FINISHED","false","9000","1714487700","28105726","2487.5","942","1","4/30/2024"
"1969","Educational Codeforces Round 165 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1714401300","28192126","1800","165","2","4/29/2024"
"1965","Codeforces Round 941 (Div. 1)","CF","FINISHED","false","7200","1714228500","28364926","2466.6666666666665","941","1","4/27/2024"
"1957","Codeforces Round 940 (Div. 2) and CodeCraft-23","CF","FINISHED","false","8100","1713710100","28883326","1871.4285714285713","940","2","4/21/2024"
"1956","Codeforces Round 939 (Div. 2)","CF","FINISHED","false","7200","1713018900","29574526","1914.2857142857142","939","2","4/13/2024"
"1954","Educational Codeforces Round 164 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1712932500","29660926","1733.3333333333333","164","2","4/12/2024"
"1955","Codeforces Round 938 (Div. 3)","ICPC","FINISHED","false","8100","1712586900","30006526","1525","938","3","4/8/2024"
"1950","Codeforces Round 937 (Div. 4)","ICPC","FINISHED","false","8100","1711637100","30956326","1228.5714285714287","937","4","3/28/2024"
"1946","Codeforces Round 936 (Div. 2)","CF","FINISHED","false","7200","1711118100","31475326","1683.3333333333333","936","2","3/22/2024"
"1945","Codeforces Round 935 (Div. 3)","ICPC","FINISHED","false","8100","1710835500","31757926","1612.5","935","3","3/19/2024"
"1943","Codeforces Round 934 (Div. 1)","CF","FINISHED","false","8700","1710599700","31993726","2562.5","934","1","3/16/2024"
"1948","Educational Codeforces Round 163 (Rated for Div. 2)","ICPC","FINISHED","false","7200","1710513300","32080126","1800","163","2","3/15/2024"
"1941","Codeforces Round 933 (Div. 3)","ICPC","FINISHED","false","8100","1710167700","32425726","1328.5714285714287","933","3","3/11/2024"
"1935","Codeforces Round 932 (Div. 2)","CF","FINISHED","false","7200","1709649300","32944126","1800","932","2","3/5/2024"
